id,category_id,category,city,country,timeslot,popular
61,5,Education,Prague,Christmas Island,RedEyes,1
62,5,Education,Bulawayo,Fiji,RedEyes,1
63,3,Clothes,Lhasa,Ecuador,Afternoon,1
64,5,Education,Kuala Lumpur,Zambia,Morning,4
65,3,Clothes,Philadelphia,Mauritania,Afternoon,4
66,1,Food,Port Said,Poland,Evening,3
67,1,Food,Santa Cruz de la Sierra,"Lao People""S Democratic Republic",Morning,2
68,5,Education,Amsterdam,United States Minor Outlying Islands,Afternoon,4
69,5,Education,Vienna,"Cote D""Ivoire",RedEyes,4
70,4,Shoes,Port Elizabeth,Bahrain,Evening,1
71,2,Drink,Kyoto,RWANDA,Afternoon,3
72,1,Food,Davao City,Guyana,Evening,1
73,2,Drink,Hyderabad,New Caledonia,Afternoon,3
74,1,Food,Charlotte Amalie,Brunei Darussalam,Afternoon,2
75,2,Drink,Douala,Uganda,Afternoon,2
76,4,Shoes,Malabo,Guadeloupe,Morning,1
77,4,Shoes,Rockhampton,Bermuda,Evening,2
78,1,Food,Taipei,Japan,RedEyes,3
79,1,Food,Antofagasta,British Indian Ocean Territory,RedEyes,3
80,4,Shoes,Ürümqi,Solomon Islands,Afternoon,2
81,2,Drink,Rosario,Nepal,Afternoon,4
82,5,Education,Campinas,"Congo, The Democratic Republic of the",Morning,2
83,2,Drink,Chiang Mai,Malta,RedEyes,4
84,2,Drink,Moscow,Botswana,RedEyes,4
85,2,Drink,Mendoza,"Congo, The Democratic Republic of the",Evening,2
86,1,Food,Cape Town,Liechtenstein,RedEyes,1
87,5,Education,Taipei,United Arab Emirates,Afternoon,2
88,1,Food,Jinan,Mali,RedEyes,2
89,1,Food,Iqaluit,Niger,Evening,1
90,5,Education,Regina,Malaysia,Afternoon,1
91,3,Clothes,Salzburg,Guatemala,Evening,3
92,5,Education,Nakhon Ratchasima,Åland Islands,Evening,4
93,3,Clothes,Ilhéus,Christmas Island,RedEyes,2
94,3,Clothes,Prague,Maldives,Morning,4
95,5,Education,Makati City,South Africa,RedEyes,1
96,5,Education,Salt Lake City,Mozambique,Morning,1
97,5,Education,Calgary,Swaziland,Afternoon,2
98,5,Education,Munich,Algeria,RedEyes,2
99,1,Food,Cuiabá,Montserrat,Evening,4
100,1,Food,Maputo,Cocos (Keeling) Islands,Morning,4
101,5,Education,Hai Phong,Cook Islands,Morning,1
102,5,Education,Gothenburg,"Lao People""S Democratic Republic",RedEyes,3
103,4,Shoes,Mexico City,Spain,Afternoon,4
104,4,Shoes,Lisbon,Bosnia and Herzegovina,Morning,4
105,3,Clothes,Dongguan,Mongolia,Afternoon,2
106,3,Clothes,Valparaíso,"Korea, Democratic People""S Republic of",Afternoon,4
107,3,Clothes,Yerevan,Aruba,Afternoon,1
108,1,Food,Funafuti,Denmark,Evening,4
109,5,Education,Rabat,Slovenia,Morning,4
110,1,Food,Abidjan,South Africa,RedEyes,2
111,1,Food,Madrid,New Caledonia,Morning,3
112,3,Clothes,Charlotte Amalie,Mali,Morning,4
113,5,Education,Jayapura,Somalia,Afternoon,4
114,3,Clothes,Oslo,Yemen,Evening,2
115,2,Drink,Adak,Dominican Republic,Morning,1
116,1,Food,Minneapolis,Singapore,RedEyes,2
117,3,Clothes,Basse-Terre,Puerto Rico,Afternoon,1
118,4,Shoes,Valparaíso,Lebanon,Afternoon,2
119,3,Clothes,Murmansk,Belize,Afternoon,4
120,1,Food,Hargeisa,Croatia,Evening,4
121,2,Drink,Cali,Gabon,Afternoon,2
122,1,Food,Phoenix,Saint Helena,RedEyes,3
123,2,Drink,Kuching,Cameroon,Afternoon,1
124,4,Shoes,Málaga,Bulgaria,Afternoon,3
125,5,Education,Panama City,Macao,Evening,3
126,5,Education,Buffalo,Somalia,Afternoon,1
127,2,Drink,Louisville,Reunion,Evening,2
128,1,Food,Whitehorse,Viet Nam,Morning,3
129,4,Shoes,Harare,New Caledonia,RedEyes,4
130,3,Clothes,Minsk,Saint Lucia,Morning,4
131,4,Shoes,Saipan,"Macedonia, The Former Yugoslav Republic of",Afternoon,2
132,2,Drink,Hargeisa,Sweden,RedEyes,1
133,1,Food,Montreal,Isle of Man,Afternoon,1
134,4,Shoes,Kawasaki,Guinea-Bissau,Evening,2
135,1,Food,Amman,Zambia,RedEyes,1
136,4,Shoes,Mendoza,Lithuania,Afternoon,2
137,2,Drink,Abu Dhabi,"Macedonia, The Former Yugoslav Republic of",Evening,4
138,2,Drink,São Tomé,Mayotte,Evening,1
139,1,Food,Labasa,Uruguay,Afternoon,4
140,5,Education,Belize City,"Congo, The Democratic Republic of the",Afternoon,1
141,5,Education,Durban,Indonesia,Morning,1
142,5,Education,Lilongwe,Western Sahara,Afternoon,2
143,4,Shoes,Lhasa,Bahamas,Morning,2
144,4,Shoes,Kandahar,Hong Kong,Afternoon,3
145,2,Drink,Oklahoma City,Liberia,Afternoon,3
146,5,Education,Maceió,Brunei Darussalam,Afternoon,2
147,5,Education,Tabriz,Saint Vincent and the Grenadines,Afternoon,4
148,4,Shoes,Yangon,Saint Kitts and Nevis,Afternoon,1
149,3,Clothes,Jakarta,Grenada,Evening,2
150,3,Clothes,Glasgow,Pakistan,Afternoon,1
151,5,Education,Kabul,Argentina,RedEyes,2
152,1,Food,Nouméa,Botswana,Evening,2
153,2,Drink,San Francisco,"Iran, Islamic Republic Of",Afternoon,2
154,5,Education,Chuí,"Macedonia, The Former Yugoslav Republic of",Evening,3
155,4,Shoes,La Paz,Cambodia,Morning,3
156,3,Clothes,Pristina,Mayotte,Evening,1
157,1,Food,Serekunda,"Iran, Islamic Republic Of",Afternoon,1
158,3,Clothes,Mamoudzou,Saint Vincent and the Grenadines,Morning,1
159,2,Drink,Bratislava,Tunisia,Afternoon,1
160,4,Shoes,Wuhan,Portugal,RedEyes,2
161,2,Drink,Alexandria,Afghanistan,Morning,1
162,3,Clothes,Jeddah,French Guiana,Morning,3
163,4,Shoes,Adak,Sweden,Afternoon,2
164,5,Education,Djibouti (city),Italy,Morning,4
165,4,Shoes,Ankara,Pakistan,RedEyes,3
166,5,Education,Riverside,Romania,Morning,3
167,2,Drink,Kuala Lumpur,Canada,Afternoon,4
168,2,Drink,Bahía Blanca,Equatorial Guinea,Afternoon,3
169,4,Shoes,Rosario,Namibia,Morning,1
170,3,Clothes,Zagreb,Vanuatu,Evening,1
171,5,Education,Yellowknife,Brazil,Evening,4
172,3,Clothes,City of San Marino,Cuba,Evening,3
173,2,Drink,Kolkata,Guyana,Evening,1
174,4,Shoes,City of Halifax,Georgia,Evening,1
175,1,Food,Vatican City,French Southern Territories,Afternoon,1
176,3,Clothes,Nuuk,Svalbard and Jan Mayen,RedEyes,1
177,3,Clothes,Thimphu,Italy,Morning,2
178,2,Drink,Saint Petersburg,Wallis and Futuna,RedEyes,3
179,2,Drink,Tucson,Gambia,Morning,2
180,2,Drink,Kingston,Reunion,Evening,2
181,1,Food,Kyoto,Somalia,Morning,1
182,5,Education,Vilnius,Viet Nam,Afternoon,1
183,2,Drink,Maceió,Belize,Morning,1
184,3,Clothes,Iqaluit,United States,Evening,4
185,1,Food,Vatican City,Marshall Islands,Evening,1
186,3,Clothes,Hat Yai,Guam,Afternoon,1
187,5,Education,Winnipeg,Comoros,Evening,2
188,1,Food,Thessaloniki,Gambia,Morning,4
189,1,Food,Rio Branco,Mali,RedEyes,4
190,5,Education,Boa Vista,Liberia,RedEyes,2
191,1,Food,Buffalo,Australia,Afternoon,1
192,2,Drink,Gold Coast,Guyana,Afternoon,3
193,4,Shoes,Stanley,Sudan,RedEyes,3
194,5,Education,Almaty,Bhutan,Afternoon,4
195,3,Clothes,Thiès,Romania,Afternoon,3
196,2,Drink,Vatican City,Portugal,Evening,4
197,1,Food,Amman,United Arab Emirates,Afternoon,1
198,2,Drink,Juneau,Poland,RedEyes,1
199,2,Drink,Bridgetown,Tonga,Evening,2
200,1,Food,Stockholm,Niue,Morning,2
201,4,Shoes,Novosibirsk,Hong Kong,Morning,2
202,3,Clothes,Ouagadougou,Congo,Afternoon,2
203,4,Shoes,Virginia Beach,"Tanzania, United Republic of",RedEyes,1
204,1,Food,Tampere,New Zealand,Evening,1
205,3,Clothes,La Paz,"Cote D""Ivoire",Morning,3
206,2,Drink,Batticaloa,Bosnia and Herzegovina,Evening,3
207,5,Education,Recife,Romania,Afternoon,3
208,5,Education,Guwahati,Faroe Islands,Morning,2
209,1,Food,Port Moresby,Tokelau,Evening,3
210,1,Food,Banjul,Anguilla,Afternoon,3
211,5,Education,Kharkiv,United Arab Emirates,Afternoon,2
212,2,Drink,Barranquilla,Anguilla,Morning,3
213,2,Drink,Tampere,Solomon Islands,Afternoon,2
214,1,Food,Bissau,Puerto Rico,RedEyes,4
215,4,Shoes,Punta Arenas,Tonga,Afternoon,1
216,2,Drink,Dili,Latvia,Evening,1
217,4,Shoes,Sitka,Russian Federation,RedEyes,4
218,4,Shoes,Koror,Lesotho,RedEyes,1
219,1,Food,Dhaka,Canada,RedEyes,2
220,4,Shoes,Porto Alegre,Honduras,Evening,3
221,3,Clothes,Sofia,Sao Tome and Principe,Evening,2
222,2,Drink,Bogor,Costa Rica,RedEyes,1
223,5,Education,Norilsk,Ecuador,Evening,1
224,4,Shoes,Koulikoro,Nicaragua,Evening,3
225,2,Drink,Shillong,Madagascar,Afternoon,4
226,3,Clothes,El Aaiún,Hungary,Afternoon,4
227,2,Drink,Porto-Novo,Germany,Evening,4
228,2,Drink,Christchurch,Croatia,RedEyes,4
229,1,Food,Peshawar,Japan,Afternoon,1
230,4,Shoes,Juneau,Yemen,Morning,4
231,2,Drink,Medina,Australia,Afternoon,4
232,3,Clothes,Glasgow,Indonesia,RedEyes,3
233,3,Clothes,Vancouver,Saint Helena,Morning,1
234,3,Clothes,Taiyuan,France,Afternoon,4
235,2,Drink,Dunedin,Poland,Morning,2
236,2,Drink,Tegucigalpa,Honduras,Evening,2
237,5,Education,Hangzhou,Vanuatu,Evening,4
238,3,Clothes,Dhaka,Grenada,Afternoon,2
239,5,Education,Shenzhen,Sweden,RedEyes,3
240,1,Food,Charlotte Amalie,El Salvador,Afternoon,2
241,3,Clothes,Zagreb,Myanmar,RedEyes,3
242,1,Food,Freetown,Aruba,Morning,4
243,3,Clothes,Handan,Venezuela,Evening,3
244,3,Clothes,Yamoussoukro,India,Evening,1
245,1,Food,Canberra,Cayman Islands,Afternoon,2
246,1,Food,Tokyo,Faroe Islands,RedEyes,2
247,2,Drink,Vaduz,Brunei Darussalam,Afternoon,1
248,5,Education,Zagreb,Spain,Evening,2
249,2,Drink,Rochester,Egypt,Afternoon,4
250,3,Clothes,Bangkok,Thailand,Evening,1
251,3,Clothes,Lisbon,Faroe Islands,Morning,2
252,5,Education,Hamburg,Lebanon,Evening,4
253,1,Food,San Fernando,United States,Afternoon,3
254,3,Clothes,Las Vegas,Malaysia,RedEyes,4
255,5,Education,Balikpapan,"Lao People""S Democratic Republic",Afternoon,3
256,4,Shoes,The Hague,Eritrea,Evening,2
257,5,Education,Zapopan,Lesotho,Evening,1
258,1,Food,Brussels,Reunion,RedEyes,1
259,1,Food,Xi'an,Tunisia,Afternoon,1
260,5,Education,Seattle,Kiribati,Morning,4
261,4,Shoes,St. Louis,Greenland,Evening,3
262,4,Shoes,Budapest,Turkmenistan,Morning,2
263,4,Shoes,Greenwich,Norfolk Island,RedEyes,2
264,2,Drink,Doha,Cyprus,Afternoon,3
265,1,Food,Vilnius,Congo,Afternoon,3
266,5,Education,Brussels,Malaysia,Evening,1
267,2,Drink,Wellington,French Polynesia,Evening,2
268,5,Education,Aarhus,Swaziland,RedEyes,3
269,5,Education,Port-au-Prince,Sri Lanka,Afternoon,4
270,2,Drink,Amritsar,Oman,Morning,1
271,5,Education,Tashkent,Costa Rica,Morning,3
272,4,Shoes,Concepción,Israel,Afternoon,3
273,1,Food,Banjul,Saint Helena,Morning,4
274,5,Education,Abu Dhabi,Saint Pierre and Miquelon,Evening,1
275,5,Education,Chaguanas,Belize,Morning,4
276,1,Food,Davao City,Djibouti,RedEyes,4
277,4,Shoes,Islamabad,India,Morning,2
278,2,Drink,Alor Star,Macao,RedEyes,1
279,5,Education,Zamboanga City,Cape Verde,Afternoon,1
280,3,Clothes,Frankfurt,Bermuda,Morning,1
281,1,Food,Islamabad,Botswana,RedEyes,2
282,1,Food,Pekanbaru,Greenland,Evening,2
283,3,Clothes,Macau,Mauritania,Afternoon,2
284,4,Shoes,Ankara,Uganda,Evening,1
285,5,Education,Marseille,Faroe Islands,Evening,4
286,3,Clothes,Hat Yai,Greece,Evening,3
287,4,Shoes,Zanzibar City,Panama,RedEyes,4
288,5,Education,Makassar,Samoa,Evening,3
289,3,Clothes,Yerevan,Singapore,Morning,4
290,2,Drink,Bratislava,French Southern Territories,RedEyes,4
291,4,Shoes,Chongjin,Aruba,Morning,4
292,2,Drink,Quetzaltenango,Western Sahara,RedEyes,4
293,2,Drink,Warsaw,Uruguay,Evening,1
294,1,Food,Thiès,Austria,Evening,1
295,2,Drink,The Hague,Tuvalu,Evening,2
296,5,Education,St. Louis,Saint Kitts and Nevis,Evening,2
297,2,Drink,Fairbanks,Sri Lanka,RedEyes,3
298,1,Food,Chongjin,Senegal,Morning,2
299,1,Food,San Juan,Uganda,Morning,3
300,5,Education,Kobe,Honduras,Morning,1
301,2,Drink,Assis,Liberia,Afternoon,4
302,5,Education,Pretoria,Iceland,RedEyes,2
303,5,Education,Wellington,Portugal,RedEyes,1
304,5,Education,Kansas City,Azerbaijan,Afternoon,3
305,5,Education,Gangtok,Azerbaijan,Evening,2
306,3,Clothes,Lucknow,Namibia,RedEyes,4
307,5,Education,Wuhan,Yemen,Morning,4
308,2,Drink,Suva,Guinea,Afternoon,1
309,1,Food,Karachi,Puerto Rico,Morning,4
310,1,Food,Turin,Lesotho,RedEyes,2
311,1,Food,Liverpool,Mayotte,RedEyes,2
312,3,Clothes,Tabriz,New Caledonia,Evening,3
313,2,Drink,Warsaw,Cook Islands,Evening,4
314,5,Education,Castries,Romania,RedEyes,2
315,5,Education,Port Elizabeth,Libyan Arab Jamahiriya,RedEyes,1
316,4,Shoes,Dodoma,American Samoa,Evening,1
317,5,Education,Townsville,Belgium,Afternoon,3
318,2,Drink,Providence,Gibraltar,Morning,3
319,3,Clothes,Tel Aviv,Saint Lucia,Morning,2
320,2,Drink,Prague,Trinidad and Tobago,RedEyes,4
321,1,Food,Rio de Janeiro,Guinea-Bissau,Evening,4
322,1,Food,Pristina,Belarus,Evening,2
323,5,Education,Warsaw,Italy,Morning,3
324,4,Shoes,Doha,Trinidad and Tobago,RedEyes,1
325,2,Drink,Sri Jayawardenapura-Kotte,Egypt,Afternoon,1
326,1,Food,Hai Phong,Tunisia,Afternoon,4
327,3,Clothes,Skopje,Sudan,Afternoon,1
328,2,Drink,Dunedin,Saint Lucia,Afternoon,4
329,1,Food,Madrid,Ethiopia,Morning,4
330,3,Clothes,Yekaterinburg,French Polynesia,Morning,3
331,2,Drink,Virginia Beach,Bolivia,Afternoon,1
332,1,Food,Stanley,El Salvador,RedEyes,1
333,5,Education,Durban,Bulgaria,RedEyes,1
334,2,Drink,Montreal,Jordan,Evening,1
335,1,Food,Barranquilla,Jamaica,Evening,4
336,5,Education,Vitória,Armenia,RedEyes,2
337,1,Food,Johannesburg,Western Sahara,Morning,2
338,4,Shoes,New Orleans,Oman,Morning,3
339,2,Drink,Harbin,Syrian Arab Republic,Morning,3
340,3,Clothes,Bandung,"Cote D""Ivoire",Afternoon,2
341,4,Shoes,Hangzhou,Mauritius,Evening,4
342,1,Food,Sarajevo,Sweden,RedEyes,2
343,5,Education,Dushanbe,Paraguay,Morning,2
344,2,Drink,Hiroshima,China,Afternoon,4
345,2,Drink,Fortaleza,"Korea, Republic of",Morning,1
346,3,Clothes,Chongqing,Oman,Evening,1
347,1,Food,Winnipeg,Aruba,RedEyes,1
348,1,Food,Niamey,Kazakhstan,Afternoon,1
349,5,Education,Kaohsiung,"Virgin Islands, British",Afternoon,1
350,5,Education,N'Djamena,Peru,Afternoon,3
351,5,Education,Berlin,"Congo, The Democratic Republic of the",Afternoon,4
352,2,Drink,Chihuahua,Lithuania,Evening,3
353,5,Education,Málaga,Ireland,Afternoon,3
354,4,Shoes,Pretoria,Niger,RedEyes,3
355,4,Shoes,Magadan,Saint Lucia,Morning,4
356,1,Food,Amman,Martinique,Afternoon,3
357,3,Clothes,Townsville,Martinique,Afternoon,3
358,1,Food,Iquique,Nigeria,Morning,2
359,5,Education,San Salvador,Dominican Republic,Evening,4
360,2,Drink,Iqaluit,Palau,Evening,2
361,4,Shoes,Wuhan,Ghana,RedEyes,1
362,1,Food,Guangzhou,Palau,Afternoon,3
363,3,Clothes,Zagreb,United States,Afternoon,3
364,3,Clothes,Dalian,Bahamas,Evening,3
365,1,Food,El Paso,Djibouti,Afternoon,3
366,5,Education,Pristina,Yemen,RedEyes,1
367,1,Food,Stuttgart,Solomon Islands,Afternoon,4
368,2,Drink,Pretoria,Afghanistan,RedEyes,1
369,1,Food,Saint John,Lithuania,Morning,4
370,3,Clothes,Vientiane,Barbados,Morning,4
371,3,Clothes,Ipoh,Saint Pierre and Miquelon,Morning,2
372,1,Food,Bishkek,Denmark,Evening,1
373,2,Drink,Pittsburgh,Congo,Afternoon,4
374,1,Food,Fairbanks,Uganda,Morning,3
375,3,Clothes,Graz,Niue,Afternoon,1
376,5,Education,Shillong,Turkmenistan,Evening,4
377,4,Shoes,Leeds,"Moldova, Republic of",RedEyes,1
378,1,Food,Bilbao,Slovenia,Evening,3
379,5,Education,Bogotá,"Congo, The Democratic Republic of the",RedEyes,2
380,3,Clothes,Seattle,Trinidad and Tobago,Evening,1
381,4,Shoes,Maceió,"Virgin Islands, U.S.",RedEyes,1
382,5,Education,Helsinki,Turkmenistan,Morning,3
383,4,Shoes,Baku,"Palestinian Territory, Occupied",RedEyes,1
384,4,Shoes,San Diego,Bermuda,Evening,4
385,1,Food,Tiraspol,Swaziland,RedEyes,2
386,3,Clothes,Washington,Paraguay,RedEyes,3
387,1,Food,Bursa,"Palestinian Territory, Occupied",Afternoon,2
388,2,Drink,Chişinău,United Arab Emirates,Afternoon,4
389,4,Shoes,Thiès,Sao Tome and Principe,Evening,3
390,3,Clothes,Omdurman,Iceland,Afternoon,3
391,4,Shoes,Arbil,Croatia,Afternoon,4
392,4,Shoes,Jinan,"Korea, Republic of",Afternoon,2
393,2,Drink,Hangzhou,Tokelau,Afternoon,3
394,2,Drink,Thessaloniki,Burkina Faso,RedEyes,4
395,2,Drink,Port Blair,Switzerland,RedEyes,1
396,2,Drink,Denver,South Georgia and the South Sandwich Islands,RedEyes,1
397,3,Clothes,Pune,Puerto Rico,RedEyes,1
398,2,Drink,Shijiazhuang,Heard Island and Mcdonald Islands,Morning,2
399,1,Food,Luxembourg (city),Liechtenstein,RedEyes,4
400,5,Education,Khartoum,Myanmar,RedEyes,1
401,5,Education,Lusaka,Paraguay,Afternoon,3
402,5,Education,Lhasa,Brunei Darussalam,Evening,3
403,5,Education,Casablanca,Oman,Morning,4
404,4,Shoes,Adelaide,Nigeria,Morning,1
405,4,Shoes,Canberra,French Guiana,Morning,3
406,2,Drink,Nassau,United Arab Emirates,Afternoon,4
407,4,Shoes,Fortaleza,Tunisia,Evening,1
408,5,Education,Rotterdam,Jamaica,Morning,2
409,1,Food,Cairns,Myanmar,Evening,1
410,5,Education,Valparaíso,Djibouti,Afternoon,3
411,4,Shoes,Copenhagen,Belgium,Afternoon,4
412,2,Drink,Virginia Beach,French Polynesia,Evening,1
413,3,Clothes,Incheon,Panama,Evening,3
414,2,Drink,Innsbruck,Haiti,Afternoon,1
415,2,Drink,Patna,RWANDA,RedEyes,4
416,3,Clothes,Bucharest,Netherlands Antilles,RedEyes,2
417,3,Clothes,Durban,Martinique,Evening,4
418,1,Food,São Paulo,Malawi,Evening,1
419,3,Clothes,Tegucigalpa,Antarctica,Evening,4
420,3,Clothes,Lima,Portugal,RedEyes,4
421,1,Food,Pretoria,Saint Helena,Afternoon,3
422,2,Drink,Memphis,French Guiana,Evening,3
423,2,Drink,Iquique,"Congo, The Democratic Republic of the",Evening,2
424,5,Education,Philadelphia,Sri Lanka,Evening,4
425,3,Clothes,Providence,Netherlands Antilles,Evening,3
426,1,Food,Porto Alegre,"Micronesia, Federated States of",Morning,1
427,1,Food,Mogadishu,Bahamas,Afternoon,2
428,4,Shoes,Cuiabá,Bahamas,Evening,4
429,3,Clothes,Tartu,Bosnia and Herzegovina,Evening,2
430,1,Food,Dubai,"Congo, The Democratic Republic of the",Evening,2
431,3,Clothes,Virginia Beach,Macao,Evening,4
432,5,Education,Cuiabá,Trinidad and Tobago,Evening,4
433,2,Drink,Campo Grande,Jordan,Morning,4
434,1,Food,Maceió,Venezuela,Evening,2
435,4,Shoes,Xi'an,Mozambique,RedEyes,2
436,2,Drink,Madrid,New Zealand,RedEyes,2
437,2,Drink,Invercargill,Guernsey,Afternoon,2
438,5,Education,St. John's,Norfolk Island,Afternoon,2
439,3,Clothes,Kaohsiung,"Virgin Islands, British",Morning,2
440,4,Shoes,Okinawa,Malta,Evening,1
441,5,Education,Bulawayo,Venezuela,Afternoon,2
442,2,Drink,Sukhumi,Nepal,Morning,2
443,5,Education,Hai Phong,Isle of Man,Evening,2
444,2,Drink,Quebec City,Hungary,Afternoon,4
445,1,Food,Seattle,Argentina,Evening,3
446,1,Food,Dunedin,Turkmenistan,Afternoon,3
447,4,Shoes,Salzburg,San Marino,RedEyes,4
448,2,Drink,Cardiff,United States Minor Outlying Islands,RedEyes,2
449,2,Drink,Antofagasta,Cuba,Afternoon,2
450,3,Clothes,Nagpur,Puerto Rico,Afternoon,2
451,5,Education,Odessa,Martinique,Morning,1
452,4,Shoes,Frankfurt,"Moldova, Republic of",Afternoon,1
453,2,Drink,Nizhny Novgorod,Viet Nam,Morning,2
454,4,Shoes,Basra,Sao Tome and Principe,Morning,2
455,5,Education,Miri,Bhutan,Afternoon,1
456,1,Food,Toronto,Guernsey,RedEyes,1
457,5,Education,Taiyuan,Central African Republic,Morning,3
458,4,Shoes,Memphis,"Macedonia, The Former Yugoslav Republic of",RedEyes,3
459,5,Education,Port Said,Sao Tome and Principe,Morning,1
460,3,Clothes,Nantes,AndorrA,Afternoon,4
461,2,Drink,Auckland,Iceland,Evening,4
462,4,Shoes,Fortaleza,Guinea,RedEyes,4
463,1,Food,Port Moresby,Estonia,Evening,3
464,4,Shoes,Pelotas,Barbados,Evening,3
465,2,Drink,Yakutsk,British Indian Ocean Territory,Morning,3
466,5,Education,Shanghai,Saint Helena,Evening,4
467,5,Education,St. George's,Belgium,Morning,4
468,2,Drink,Castries,Paraguay,Afternoon,4
469,3,Clothes,Faisalabad,Antigua and Barbuda,Afternoon,2
470,3,Clothes,Basse-Terre,Croatia,Afternoon,1
471,3,Clothes,Yaoundé,Portugal,Evening,2
472,1,Food,Caracas,Martinique,Evening,4
473,3,Clothes,Casablanca,Nicaragua,Morning,2
474,2,Drink,Abidjan,Equatorial Guinea,Afternoon,4
475,3,Clothes,Athens,Niger,RedEyes,2
476,4,Shoes,Belém,Macao,Afternoon,2
477,4,Shoes,Dammam,Pitcairn,RedEyes,2
478,4,Shoes,Bahía Blanca,AndorrA,Afternoon,2
479,5,Education,Norilsk,Belgium,Morning,2
480,4,Shoes,Asmara,Djibouti,RedEyes,4
481,5,Education,Mashhad,Burkina Faso,RedEyes,4
482,5,Education,Santiago de Cuba,Northern Mariana Islands,RedEyes,4
483,2,Drink,Paramaribo,Bouvet Island,RedEyes,4
484,3,Clothes,Yogyakarta (city),Tunisia,RedEyes,4
485,3,Clothes,Panama City,Sri Lanka,Morning,1
486,2,Drink,São Paulo,Holy See (Vatican City State),RedEyes,3
487,3,Clothes,Sapporo,Qatar,Afternoon,1
488,5,Education,Philadelphia,Bahrain,RedEyes,2
489,3,Clothes,Koulikoro,Afghanistan,Evening,1
490,1,Food,Kuwait City,Cyprus,RedEyes,2
491,2,Drink,Shenyang,Guernsey,RedEyes,2
492,3,Clothes,Stanley,Saudi Arabia,Morning,4
493,4,Shoes,Vatican City,Costa Rica,RedEyes,3
494,1,Food,Cardiff,Guatemala,Morning,4
495,2,Drink,Abuja,Tunisia,Afternoon,2
496,2,Drink,Maceió,Grenada,Afternoon,4
497,5,Education,Nukus,Seychelles,RedEyes,3
